yyyy	mm	tmax	tmin	rain
1976	7	26.6	14.9	15.4
1976	8	25.1	13.2	16.4
1976	9	19	11.2	96.6
1976	10	14.9	8.8	93
1976	11	9.9	3.5	81.7
1976	12	5.6	-0.2	72.3
1977	1	6.1	0.8	63.5
1977	2	9.6	3.4	65.3
1977	3	11.2	4.5	56.8
1977	4	12.2	4.1	32.7
1977	5	16.4	7.2	37.3
1977	6	17.4	9.6	52.4
1977	7	22.4	12.7	10.4
1977	8	20.3	13	150.3
1977	9	18	10.7	15.3
1977	10	16.3	9	48.1
1977	11	10.4	4.6	51.3
1977	12	9.2	4.1	55.5
1978	1	6.7	0.7	68.8
1978	2	6.2	0.7	40.9
1978	3	11.3	3.5	58.9
1978	4	10.7	3.9	45.4
1978	5	17.2	7.9	78.5
1978	6	19.7	10.7	38.1
1978	7	20.5	12.7	65.5
1978	8	20.7	12.1	53.6
1978	9	20.1	10.8	17.1
1978	10	17.1	8.4	1.6
1978	11	12.6	6.2	8.2
1978	12	7.8	2.6	108.6
1979	1	3.8	-2.6	59.9
1979	2	4.5	-0.4	44
1979	3	9.2	2	94.9
1979	4	12.7	4.8	77.6
1979	5	15.9	7.2	87
1979	6	19	11.1	37.6
1979	7	22.5	13.4	21.7
1979	8	21	12.2	33.4
1979	9	19.6	10.3	20.8
1979	10	16.4	8.8	68.7
1979	11	10.8	3.5	48.2
1979	12	9.2	3.9	90.7
1980	1	6	-0.1	29.7
1980	2	9.9	2.9	36.8
1980	3	9	2.4	72.1
1980	4	14	5.4	21.6
1980	5	17.3	7.4	26.1
1980	6	19.8	10.9	106.2
1980	7	19.7	11.9	59.3
1980	8	21.9	13.3	52.3
1980	9	20.1	12	27.7
1980	10	14	5.8	96.5
1980	11	9.3	4.5	26.4
1980	12	8.9	2.7	33.4
1981	1	8.1	2	32.7
1981	2	7.1	-0.1	11.9
1981	3	11.8	6.5	90.8
1981	4	12.9	4.9	32.4
1981	5	16.1	8.4	79.8
1981	6	18.5	10.4	39.5
1981	7	22	12.8	56.7
1981	8	22.8	13	45.3
1981	9	20.3	11.3	94.6
1981	10	12.9	5.8	76.5
1981	11	11.5	5.1	34.1
1981	12	4.4	-1.5	85.3
1982	1	6.9	0.4	38
1982	2	8.4	2.4	31.6
1982	3	11.1	2.5	51.5
1982	4	14.3	5	22.8
1982	5	18	7.6	71.9
1982	6	21.5	12.8	84.6
1982	7	22.7	13.4	24.5
1982	8	22.2	12.9	39.7
1982	9	20.8	11.1	39.6
1982	10	14.1	7.8	109.1
1982	11	11.4	6.2	72.9
1982	12	8.2	1.9	63.6
1983	1	10	4.3	47.2
1983	2	5.5	-0.5	31
1983	3	10.8	3	33.7
1983	4	12.4	3.6	101.5
1983	5	15.6	7.5	72.9
1983	6	20.8	11.4	12
1983	7	27.6	16	50.3
1983	8	24.5	13.8	11.4
1983	9	19.3	11.3	42.9
1983	10	15.1	7.6	41.7
1983	11	11.3	5.5	39.5
1983	12	9.2	2.7	50.9
1984	1	8	1.4	73.3
1984	2	7.4	1.3	32.9
1984	3	8.9	2.5	73.4
1984	4	14.6	3.9	5.4
1984	5	14.9	6.8	90.9
1984	6	21.3	11.3	36.1
1984	7	24.2	12.9	19.2
1984	8	24.4	14.2	27.8
1984	9	18.6	11	73.4
1984	10	15.8	8.5	82.8
1984	11	12.2	6.4	69.8
1984	12	8.7	2.8	56.7
1985	1	4.1	-1.8	41.3
1985	2	6.3	0.1	29.8
1985	3	9.4	1.3	34.1
1985	4	14	5.3	33.3
1985	5	16.4	8.2	64.7
1985	6	18.5	9.9	88.9
1985	7	22.9	13.2	35.2
1985	8	20.3	11.9	58.9
1985	9	20.6	11.4	11.2
1985	10	16.1	8.8	18.4
1985	11	8.1	1.2	30
1985	12	10	5.2	80.5
1986	1	7.2	1	105.6
1986	2	1.7	-2.7	14.5
1986	3	10.1	1.8	43.5
1986	4	10.9	3.2	60.7
1986	5	16.3	7.9	52.3
1986	6	21.8	11.4	17.2
1986	7	22.6	13.3	54.6
1986	8	20	11.5	66.7
1986	9	17.4	8.1	22.8
1986	10	16.4	8.5	72.4
1986	11	12.1	5.2	66.1
1986	12	9.7	3.2	60.6
1987	1	3.6	-1	11.1
1987	2	7.7	1.4	32.4
1987	3	8.5	1.4	42.7
1987	4	15.8	6.7	39.9
1987	5	16.3	7	54.1
1987	6	18.6	10.6	69.9
1987	7	21.8	13.2	77.3
1987	8	21.8	12.5	57.2
1987	9	19.3	11.4	36.9
1987	10	15	7.7	174.8
1987	11	9.8	4.2	43.3
1987	12	8.9	4.1	14.4
1988	1	8.8	3.1	106.9
1988	2	8.7	1.8	26
1988	3	10.7	3.7	59.5
1988	4	13.5	5.1	27.7
1988	5	18	9.1	41.6
1988	6	19.7	11.3	44.3
1988	7	20	12.2	76.2
1988	8	21.8	12.4	60.9
1988	9	18.8	10.8	27.8
1988	10	15.5	8.5	56.3
1988	11	9.9	1.8	16
1988	12	10.4	4.8	8.9
1989	1	9.5	3.1	26
1989	2	10.2	2.6	40.2
1989	3	12.9	4.5	56.6
1989	4	11.5	4.3	64.2
1989	5	21	10	12.1
1989	6	22.1	11.4	35.5
1989	7	25.8	14.8	36.7
1989	8	24.2	13.1	55.7
1989	9	20.7	12.6	10.8
1989	10	17.1	9.7	52.8
1989	11	10.9	3.7	23.8
1989	12	9.4	4.2	119.3
1990	1	10.2	4.4	71.1
1990	2	11.7	5.3	92.3
1990	3	13.6	4.8	6.9
1990	4	14.6	4.2	29.7
1990	5	20.5	9	4.1
1990	6	19.5	10.8	39.5
1990	7	24.7	13.2	6.9
1990	8	26	14.7	26.8
1990	9	19.7	10	24.9
1990	10	16.9	9.6	49.7
1990	11	10.7	5.1	22.1
1990	12	7.6	2.5	51.4
1991	1	7.3	1.8	69.7
1991	2	5.4	-1.3	34.7
1991	3	12.5	5.3	25.9
1991	4	13.1	4.8	52.8
1991	5	15.7	7.7	9.1
1991	6	17.8	9.7	88.6
1991	7	23.2	14.4	92.9
1991	8	24.1	14.4	26
1991	9	21.4	11.5	43.7
1991	10	14.6	7.6	18.5
1991	11	10.6	4.2	59.3
1991	12	8.3	1.7	12
1992	1	7.5	2	12.6
1992	2	9.5	2.3	17.7
1992	3	11.8	4.9	38.5
1992	4	14	5.6	57.1
1992	5	21	10.2	94.5
1992	6	22.5	12.3	22.5
1992	7	22.5	14.2	62.3
1992	8	21.7	13.6	84.7
1992	9	18.9	11	77.3
1992	10	12.5	5.3	59.4
1992	11	12	4.8	86.9
1992	12	7.8	1.6	35.9
1993	1	10.3	3.5	63.1
1993	2	7.2	2.5	2.4
1993	3	11.8	3.3	16
1993	4	14.6	6.8	75.3
1993	5	18	8.8	31.8
1993	6	21.8	12.2	43.9
1993	7	21.6	12.6	35
1993	8	21.6	11.7	23.8
1993	9	17.5	9.8	96.3
1993	10	13	7	123
1993	11	8.8	2.4	29.5
1993	12	9.2	3.6	73.8
1994	1	9.3	2.8	80
1994	2	7.7	1.2	42.6
1994	3	12.3	5.1	40
1994	4	13.3	5.1	52.8
1994	5	16	8.2	80.6
1994	6	21.5	11.2	17
1994	7	26.2	15.2	16.9
1994	8	23	13.8	32.2
1994	9	17.8	10.8	86.3
1994	10	15.4	7.7	76
1994	11	13.6	8.4	43.1
1994	12	10.7	4	63.3
1995	1	8.9	2.2	113.7
1995	2	10.7	4.4	71.9
1995	3	11.2	2	49.5
1995	4	15	6.1	16.9
1995	5	19	8.2	30
1995	6	20.7	10.8	11.1
1995	7	26.3	15.2	20.3
1995	8	27	15.6	0.3
1995	9	19.2	10.7	95
1995	10	18.3	10.2	19.2
1995	11	12	5.1	28.5
1995	12	5.8	1	82.8
1996	1	7.2	3.1	41.5
1996	2	6.8	0.1	49
1996	3	8.6	2.1	31.4
