yyyy	mm	tmax	tmin	rain
1924	1	6.1	3.4	49.5
1924	2	5.7	2.7	57.2
1924	3	4.9	0.9	39.9
1924	4	8.2	2.6	26.2
1924	5	9.4	5.1	58.4
1924	6	12.1	7.4	36.6
1924	7	14.8	9.6	97.8
1924	8	14.8	10.3	58.4
1924	9	13.2	8.1	103.1
1924	10	11.1	6.9	59.7
1924	11	9.2	6.2	37.8
1924	12	8.2	5.1	37.6
1925	1	6.6	3.7	39.6
1925	2	5.7	1.7	77.2
1925	3	6.7	1.7	58.7
1925	4	8.2	3.1	41.9
1925	5	10.4	6.5	53.6
1925	6	13.7	8.3	34.5
1925	7	15.4	10.8	77.5
1925	8	14.1	9.5	47
1925	9	11.5	7.4	47
1925	10	10.4	6.7	73.9
1925	11	6.7	2.5	47.5
1925	12	4.1	0.2	65.8
1926	1	6.3	3.6	56.4
1926	2	6.7	3.3	53.3
1926	3	7.6	3.1	70.6
1926	4	9.2	5	68.8
1926	5	9.8	5	48
1926	6	11.9	8.2	39.1
1926	7	14.9	10.1	39.6
1926	8	15.1	10.3	51.3
1926	9	13.4	8.4	76.2
1926	10	8.7	3.6	158.5
1926	11	7.9	3.7	62.2
1926	12	6.7	2.8	89.7
1927	1	6.2	1.9	62.5
1927	2	6.8	2.9	50.3
1927	3	8.2	3.9	40.9
1927	4	8	2.1	106.9
1927	5	8.9	4.3	52.6
1927	6	11.3	6.1	73.4
1927	7	14.4	10.1	32.5
1927	8	14.6	10.3	50.8
1927	9	12.1	7.6	83.3
1927	10	10.7	5.8	101.6
1927	11	7.6	3.8	92.2
1927	12	5.3	2.1	22.4
1928	1	5.7	2	119.4
1928	2	6.6	2.2	42.9
1928	3	6.2	3.4	42.9
1928	4	8.1	4.2	40.6
1928	5	9.4	6	36.6
1928	6	11.2	6.3	81
1928	7	13.8	9.4	55.1
1928	8	13.1	9.6	53.1
1928	9	12.8	7.9	60.7
1928	10	11.1	6.6	64.5
1928	11	8.6	4.5	116.3
1928	12	6.2	3.3	88.1
1929	1	4.8	0.9	32.5
1929	2	4.3	1.4	35.6
1929	3	9.1	3.5	22.4
1929	4	6.6	1.9	42.9
